L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		L(0,6)		L(0,7)		L(0,8)		L(0,9)		L(0,10)		L(0,11)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		F(1,8)		F(1,9)		F(1,10)		F(1,11)		F(1,12)		F(1,13)		F(1,14)		F(1,15)		F(1,16)		F(1,17)		T(0,2)		T(0,3)		T(0,4)		T(0,5)		T(0,6)		T(0,7)	
492  Points		500  Points		452  Points		391  Points		330  Points		329  Points		284  Points		245  Points		209  Points		196  Points		167  Points		140  Points		480  Points		474  Points		429  Points		423  Points		376  Points		360  Points		353  Points		343  Points		305  Points		305  Points		252  Points		240  Points		189  Points		189  Points		177  Points		148  Points		455  Points		391  Points		346  Points		318  Points		280  Points		205  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00155425	4.65438	0.00310594	0.301711	0.781744	415.503	0.985557	572.37	1.44968	2564.39	2.13766	845.701	2.14451	843.68	2.74752	758.273	3.44881	1137.71	3.5468	1373.06	4.07693	1112.23	4.73123	1056.67	0.439289	256.854	0.661183	159.911	1.08588	1808.91	1.34895	1244.38	1.57358	590.299	1.80046	1464.93	2.128	1336.01	2.43689	608.864	2.70129	602.931	2.82306	3243.26	3.08656	48690.5	3.42734	3733.38	3.77724	2341.17	4.03781	2871.16	4.20068	1010.32	4.38349	38139.2	1.04134	1575.66	1.77936	13533.8	2.41142	624.008	3.07523	784.167	3.7627	3374.2	4.37255	2129.94
0.0226135	4.654	0.00638349	0.430751	0.781757	122.027	0.98605	157.847	1.44977	284.809	2.13478	302.691	2.14771	303.913	2.74763	337.199	3.44876	456.406	3.54702	499.008	4.07698	497.767	4.73078	525.498	0.440357	70.6237	0.661725	76.4143	1.08597	211.884	1.34906	240.515	1.57371	218.853	1.80061	312.931	2.12807	347.848	2.43698	285.783	2.70141	299.981	2.82316	523.25	3.0866	672.697	3.42737	629.682	3.77725	615.348	4.03785	680.766	4.20082	483.812	4.38353	944.739	1.04142	200.818	1.7794	382.136	2.4115	287.446	3.07529	364.084	3.76273	667.135	4.37258	664.738
0.0436538	4.65197	0.0107588	0.556169	0.781791	71.5176	0.987098	91.6365	1.44999	150.8	2.13155	184.108	2.15157	185.61	2.74781	216.817	3.44868	285.455	3.54744	304.943	4.07705	320.635	4.73013	349.668	0.442623	41.1349	0.662652	50.2591	1.08619	112.555	1.34931	133.146	1.57396	134.346	1.80097	175.208	2.12822	199.968	2.43713	186.72	2.70161	199.671	2.82343	284.607	3.08671	338.701	3.42745	343.844	3.77727	354.228	4.03795	386.172	4.20106	318.075	4.38363	478.305	1.04162	107.263	1.77953	193.817	2.41165	186.741	3.07539	237.086	3.7628	370.168	4.37265	393.829
0.0646577	4.64864	0.016163	0.677141	0.781856	50.5845	0.988692	64.6335	1.45035	102.568	2.12835	132.174	2.15569	133.754	2.74808	159.787	3.44856	207.665	3.54807	219.584	4.07716	236.487	4.72934	261.977	0.446041	29.1811	0.663965	37.4916	1.08654	76.6502	1.3497	92.0729	1.57434	96.9376	1.80154	121.692	2.12844	140.327	2.43735	138.664	2.70188	149.645	2.82385	195.484	3.0869	226.339	3.42756	236.497	3.7773	248.696	4.0381	269.542	4.2014	236.929	4.3838	320.22	1.04194	73.191	1.77974	129.846	2.41186	138.299	3.07554	175.779	3.76292	256.152	4.37274	279.804
0.0856073	4.644	0.0225187	0.793066	0.781972	39.1349	0.990819	49.9861	1.45084	77.7291	2.12526	103.03	2.16	104.642	2.74842	126.519	3.44841	163.189	3.54889	171.584	4.0773	187.328	4.72849	209.434	0.450551	22.7433	0.665667	29.9382	1.08703	58.1292	1.35024	70.3833	1.57483	75.838	1.8023	93.2432	2.12875	108.098	2.43763	110.288	2.70223	119.672	2.82443	148.886	3.08716	169.966	3.42772	180.235	3.77734	191.613	4.0383	207.025	4.20184	188.781	4.38403	240.683	1.04238	55.5615	1.78003	97.6348	2.41213	109.82	3.07574	139.669	3.76307	195.839	4.37287	216.985
0.106484	4.63802	0.0297427	0.9035	0.782162	31.9166	0.993461	40.8044	1.45147	62.5895	2.1223	84.3769	2.16449	86.0055	2.74885	104.724	3.44823	134.401	3.54991	140.824	4.07747	155.093	4.72762	174.435	0.456074	18.7413	0.667762	24.954	1.08767	46.8312	1.35091	56.9788	1.57545	62.2934	1.80327	75.5959	2.12914	87.9164	2.43798	91.5594	2.70267	99.71	2.82516	120.243	3.08749	136.082	3.42792	145.602	3.77739	155.843	4.03855	168.053	4.20237	156.906	4.38433	192.803	1.04295	44.7888	1.7804	78.237	2.41246	91.0728	3.07598	115.871	3.76326	158.519	4.37303	177.204
0.127269	4.63067	0.0377515	1.0082	0.782452	26.9519	0.996597	34.5179	1.45224	52.3984	2.11949	71.417	2.16913	73.0547	2.74936	89.342	3.44803	114.244	3.55113	119.433	4.07768	132.325	4.72675	149.451	0.462522	16.0263	0.670252	21.4243	1.08845	39.223	1.35173	47.876	1.57618	52.8641	1.80444	63.5835	2.12961	74.092	2.4384	78.2734	2.70317	85.4616	2.82605	100.857	3.0879	113.47	3.42816	122.138	3.77745	131.328	4.03885	141.435	4.203	134.248	4.3847	160.818	1.04363	37.5261	1.78085	65.277	2.41286	77.7981	3.07626	99.0054	3.76349	133.15	4.37323	149.753
0.147942	4.62188	0.046463	1.10707	0.782877	23.3301	1.00021	29.9491	1.45315	45.0724	2.11683	61.8906	2.17392	63.5337	2.74995	77.9057	3.4478	99.342	3.55253	103.699	4.07791	115.389	4.72591	130.722	0.469801	14.0721	0.673141	18.7977	1.08938	33.7529	1.35269	41.2921	1.57703	45.9231	1.80581	54.881	2.13016	64.0307	2.43889	68.3595	2.70375	74.7818	2.82709	86.8661	3.08838	97.3075	3.42845	105.19	3.77753	113.479	4.03921	122.099	4.20373	117.315	4.38513	137.941	1.04444	32.2997	1.78139	56.0071	2.41332	67.9055	3.07659	86.4292	3.76376	114.783	4.37345	129.669
