L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		L(0,6)		L(0,7)		L(0,8)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		F(1,8)		F(1,9)		F(1,10)		F(1,11)		F(1,12)		F(1,13)		F(1,14)		T(0,2)		T(0,3)		T(0,4)		T(0,5)		T(0,6)		T(0,7)	
476  Points		474  Points		432  Points		405  Points		361  Points		299  Points		236  Points		217  Points		189  Points		441  Points		437  Points		422  Points		417  Points		388  Points		384  Points		336  Points		332  Points		266  Points		257  Points		215  Points		193  Points		157  Points		441  Points		428  Points		403  Points		361  Points		300  Points		199  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.223168	3.57693	0.0614784	0.792451	1.32095	21.4356	1.56048	25.2655	2.46117	38.9324	3.5619	54.5934	3.81257	61.9478	4.6674	75.0621	5.76769	88.4882	0.690139	10.545	1.01251	16.7498	1.86841	31.8538	2.30042	36.9988	2.62853	42.7597	2.99504	46.3038	3.49469	55.6221	4.10075	63.5313	4.60189	77.9616	4.87767	75.463	5.20719	82.4517	5.72644	87.7773	6.30929	101.528	0.0865044	2.2	1.80362	28.3724	2.95048	46.8422	4.07109	62.6756	5.18238	85.5593	6.28984	105.189
0.248937	3.57296	0.0723321	0.852355	1.31723	19.1165	1.56996	22.7384	2.46233	34.9277	3.56189	49.1121	3.81549	55.4365	4.66796	67.2016	5.76785	79.5985	0.699891	9.62334	1.01564	14.9952	1.86889	28.3434	2.3019	33.1413	2.63114	38.2691	2.99652	41.6392	3.49538	49.8553	4.10122	57.0976	4.60243	69.4087	4.87937	67.8463	5.20788	73.9379	5.72687	78.9698	6.30962	90.8842	0.102524	2.2	1.80493	25.4751	2.95127	41.9996	4.07168	56.366	5.18282	76.384	6.2902	93.7753
0.274611	3.56851	0.0837942	0.909393	1.31357	17.2414	1.58005	20.7013	2.46362	31.6745	3.56189	44.6312	3.81872	50.1751	4.66857	60.8335	5.76804	72.3325	0.710321	8.87791	1.01913	13.5862	1.86943	25.5321	2.30352	30.0178	2.63403	34.6423	2.99816	37.8338	3.49615	45.1745	4.10176	51.8489	4.60303	62.5491	4.88125	61.6323	5.20866	67.0205	5.72734	71.7701	6.30998	82.2616	0.118543	2.2	1.80639	23.1195	2.95216	38.0675	4.07234	51.2128	5.1833	68.9878	6.29059	84.5978
0.300178	3.56356	0.0958069	0.963615	1.31003	15.6949	1.59067	19.0254	2.46505	28.9798	3.56192	40.8999	3.82225	45.8362	4.66925	55.5698	5.76824	66.2827	0.721357	8.26377	1.023	12.4311	1.87005	23.2303	2.3053	27.4375	2.6372	31.6528	2.99996	34.6708	3.497	41.2998	4.10234	47.4855	4.60369	56.9256	4.88331	56.4668	5.20951	61.2891	5.72786	65.7749	6.31038	75.1345	0.134562	2.2	1.80798	21.1673	2.95312	34.8114	4.07306	46.9249	5.18384	62.8991	6.29103	77.0578
0.325626	3.55809	0.108317	1.0151	1.30668	14.3986	1.60178	17.6235	2.46661	26.7116	3.56197	37.7446	3.82608	42.1975	4.67	51.1464	5.76847	61.1674	0.732924	7.74983	1.02726	11.4681	1.87075	21.3113	2.30723	25.2704	2.64065	29.1468	3.00194	32.0007	3.49792	38.0394	4.10298	43.8011	4.60442	52.2317	4.88555	52.1055	5.21044	56.4631	5.72843	60.7055	6.31082	69.145	0.150582	2.2	1.80972	19.5233	2.95418	32.071	4.07384	43.3014	5.18442	57.7995	6.29151	70.7532
0.350941	3.55209	0.121276	1.06394	1.30355	13.2972	1.61333	16.434	2.46831	24.7763	3.56205	35.0417	3.8302	39.1027	4.6708	47.377	5.76872	56.7856	0.744954	7.31391	1.0319	10.6539	1.87154	19.6873	2.30929	23.4248	2.64436	27.0164	3.00408	29.7169	3.49892	35.2584	4.10367	40.6488	4.6052	48.2548	4.88796	48.3745	5.21145	52.3438	5.72904	56.3628	6.3113	64.041	0.166601	2.2	1.81159	18.1201	2.95532	29.7331	4.07469	40.1992	5.18506	53.4662	6.29203	65.4034
0.37611	3.54553	0.134637	1.11023	1.3007	12.3508	1.62529	15.4126	2.47015	23.1059	3.56216	32.7004	3.83461	36.4389	4.67167	44.1267	5.769	52.9901	0.75738	6.93978	1.03695	9.95739	1.87243	18.2953	2.3115	21.8345	2.64833	25.1835	3.00641	27.7417	3.49999	32.8582	4.10442	37.921	4.60605	44.8423	4.89054	45.1467	5.21255	48.7868	5.72969	52.6011	6.31181	59.6397	0.18262	2.2	1.81361	16.9087	2.95655	27.7151	4.0756	37.5133	5.18574	49.7387	6.29259	60.8068
0.401118	3.5384	0.14836	1.1541	1.29816	11.5295	1.63761	14.5264	2.47213	21.6498	3.56232	30.6529	3.83929	34.1224	4.6726	41.2953	5.76931	49.6708	0.770136	6.6153	1.0424	9.35559	1.87341	17.0891	2.31384	20.45	2.65256	23.5903	3.00891	26.0167	3.50114	30.7659	4.10522	35.5377	4.60696	41.8821	4.8933	42.327	5.21372	45.6843	5.7304	49.3112	6.31236	55.8053	0.19864	2.2	1.81576	15.8526	2.95787	25.9557	4.07657	35.1654	5.18648	46.4983	6.29319	56.8149
0.425949	3.53066	0.162407	1.19564	1.29598	10.811	1.65028	13.7506	2.47425	20.3695	3.56252	28.8472	3.84425	32.0897	4.6736	38.8068	5.76964	46.7433	0.781475	6.36573	1.04827	8.83112	1.87451	16.0341	2.31632	19.2341	2.65704	22.193	3.01159	24.4975	3.50237	28.9258	4.10608	33.4374	4.60792	39.2901	4.89622	39.8428	5.21498	42.9547	5.73114	46.4097	6.31294	52.4351	0.214659	2.2	1.81805	14.9239	2.95927	24.4084	4.0776	33.0955	5.18726	43.6555	6.29383	53.3159
0.450588	3.5223	0.176744	1.23499	1.29419	10.1778	1.66326	13.0661	2.47652	19.2351	3.56277	27.243	3.84947	30.2921	4.67466	36.6025	5.77	44.1422	0.791273	6.17353	1.05456	8.37067	1.87572	15.1037	2.31893	18.1579	2.66176	20.9578	3.01445	23.1497	3.50367	27.2951	4.10699	31.5727	4.60895	37.0015	4.89932	37.6378	5.21632	40.5347	5.73194	43.8316	6.31357	49.4496	0.230678	2.2	1.82048	14.101	2.96075	23.0371	4.0787	31.2571	5.18809	41.1413	6.29451	50.2237
