L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		L(0,6)		L(0,7)		L(0,8)		L(0,9)		L(0,10)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		F(1,8)		F(1,9)		F(1,10)		F(1,11)		F(1,12)		F(1,13)		F(1,14)		F(1,15)		F(1,16)		F(1,17)		T(0,2)		T(0,3)		T(0,4)		T(0,5)		T(0,6)		T(0,7)	
476  Points		474  Points		472  Points		431  Points		399  Points		281  Points		281  Points		219  Points		219  Points		173  Points		163  Points		471  Points		443  Points		437  Points		431  Points		420  Points		399  Points		390  Points		347  Points		344  Points		280  Points		234  Points		234  Points		274  Points		172  Points		162  Points		148  Points		437  Points		420  Points		390  Points		345  Points		274  Points		149  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00669713	3.59244	0.00546688	0.36653	0.427588	191.649	1.11947	217.996	2.21015	2114.27	2.2454	550.883	3.30689	1878.61	4.4052	993.863	4.42132	1210.07	5.50418	1111.8	6.6033	2262.08	0.238125	40.0726	0.527682	203.755	1.14933	2467.32	1.31485	290.486	2.10729	510.044	2.22453	1680.77	2.43177	1017.26	3.3163	848.793	3.33841	516.042	4.41193	769.072	4.41223	692.801	4.46937	857.671	5.50977	1938.31	5.52975	787.44	6.57106	1699.91	6.60816	1471.26	1.19295	246.319	2.25066	369.782	3.33435	869.338	4.42593	925.917	5.52079	2778.83	6.61736	1764.3
0.0328418	3.59095	0.0117507	0.529391	0.427639	44.9549	1.12054	90.2437	2.20677	265.018	2.25089	198.185	3.3069	365.735	4.40527	376.072	4.42155	404.338	5.50426	449.982	6.6017	647.185	0.241852	18.2891	0.528242	53.513	1.14961	148.388	1.31534	111.395	2.10664	184.581	2.22485	258.552	2.43231	251.479	3.31629	296.4	3.33855	242.79	4.41231	338.934	4.4121	323.226	4.46957	357.778	5.50983	544.23	5.52983	386.594	6.57086	589.472	6.60833	561.312	1.1932	98.4113	2.25082	168.374	3.33443	299.939	4.42599	366.951	5.52083	595.672	6.6174	599.825
0.0589276	3.58719	0.0199463	0.676646	0.427765	25.4711	1.12248	56.9836	2.20008	140.955	2.25908	121.202	3.30693	202.589	4.40539	231.919	4.42201	242.744	5.50442	282.08	6.59923	377.484	0.248136	12.101	0.529467	30.8677	1.1504	76.5462	1.31627	68.9531	2.10539	112.62	2.22562	140.095	2.4335	143.54	3.31629	179.549	3.33879	158.746	4.41245	217.365	4.41239	210.799	4.46992	226.05	5.50995	316.562	5.52995	256.189	6.57048	356.538	6.60865	346.829	1.19367	61.5097	2.25108	109.014	3.33459	181.242	4.42612	228.822	5.52091	333.595	6.61748	361.34
0.0849039	3.58112	0.0296762	0.807302	0.427998	17.7772	1.12529	41.7086	2.19206	95.7657	2.26853	87.5188	3.30696	140.097	4.40558	167.659	4.4227	173.451	5.50464	205.434	6.59647	266.377	0.2566	9.23458	0.531376	21.7471	1.15168	51.6211	1.31765	49.966	2.10358	80.9815	2.22683	96.1163	2.43534	100.488	3.31628	128.779	3.33912	117.933	4.41262	159.987	4.41265	156.404	4.47043	165.231	5.51015	223.2	5.53013	191.573	6.56992	255.539	6.60911	250.953	1.19435	44.7528	2.25146	80.6081	3.33482	129.86	4.4263	166.249	5.52104	231.672	6.61759	258.548
0.110713	3.57251	0.0405926	0.921696	0.428386	13.6615	1.12896	32.9513	2.18358	72.3725	2.27866	68.6301	3.30702	107.071	4.40582	131.288	4.42362	134.949	5.50494	161.545	6.59363	205.761	0.265426	7.77642	0.533997	16.8369	1.15345	38.9788	1.31947	39.2088	2.10128	63.182	2.22841	73.1838	2.43781	77.3503	3.31627	100.392	3.33956	93.8203	4.41288	126.579	4.41335	124.338	4.47111	130.212	5.51041	172.369	5.53036	152.99	6.56921	199.118	6.60968	196.614	1.19524	35.1861	2.25196	63.9533	3.33513	101.182	4.42654	130.553	5.52121	177.458	6.61775	201.29
0.136284	3.56097	0.0524062	1.02111	0.429	11.1029	1.13346	27.2841	2.17496	58.0719	2.28922	56.547	3.30708	86.6458	4.40612	107.887	4.42476	110.45	5.50531	133.113	6.5908	167.591	0.273803	6.92448	0.537371	13.7797	1.1557	31.3423	1.32174	32.2897	2.09855	51.766	2.23033	59.1113	2.44092	62.9135	3.31626	82.2594	3.34009	77.8998	4.4132	104.717	4.41323	103.17	4.47195	107.451	5.51073	140.401	5.53064	127.346	6.56837	163.096	6.61035	161.626	1.19635	29.002	2.25256	53.009	3.33551	82.8843	4.42684	107.48	5.52144	143.809	6.61794	164.797
0.161531	3.54598	0.0648828	1.10713	0.429938	9.36273	1.13877	23.3239	2.16637	48.4274	2.30011	48.1547	3.30716	72.766	4.40648	91.5699	4.42614	93.4912	5.50575	113.194	6.58802	141.349	0.281205	6.38897	0.541545	11.7018	1.1584	26.2349	1.32448	27.47	2.09545	43.8189	2.23253	49.598	2.44464	53.0527	3.31625	69.6749	3.34072	66.6035	4.41357	89.297	4.41361	88.1703	4.47296	91.4715	5.51113	118.438	5.53097	109.067	6.56741	138.103	6.61111	137.215	1.19767	24.6779	2.25329	45.269	3.33598	70.1949	4.4272	91.3407	5.52171	120.889	6.61818	139.507
0.186339	3.52682	0.0778412	1.18146	0.43133	8.10746	1.14488	20.4058	2.15787	41.4849	2.31127	41.9875	3.30726	62.7197	4.40689	79.5426	4.42774	81.058	5.50626	98.4645	6.5853	122.2	0.287307	6.04209	0.546573	10.2048	1.16154	22.582	1.32767	23.9234	2.09204	37.9665	2.23496	42.7384	2.44897	45.8943	3.31626	60.4301	3.34143	58.1727	4.414	77.8384	4.41561	77.0086	4.47415	79.6372	5.51159	102.421	5.53136	95.3798	6.56636	119.745	6.61194	119.216	1.19921	21.4859	2.25412	39.5065	3.33652	60.8787	4.42761	79.4182	5.52202	104.273	6.61845	120.948
