Sym		Asym		Mode 1		Mode 2		Mode 3		Mode 4		Mode 5		Mode 6	
502  Points		543  Points		494  Points		448  Points		261  Points		257  Points		223  Points		224  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.183714	2.35376	0.0774425	0.694725	0.294819	3.79936	0.88959	9.80029	1.16276	12.796	1.71992	18.673	2.07825	22.5174	2.10587	23.1888
0.186934	2.32228	0.080624	0.707746	0.304047	3.79862	0.890286	9.55076	1.16599	12.4955	1.7203	18.1943	2.07592	21.9117	2.10354	22.556
0.190199	2.2932	0.0838552	0.720647	0.31327	3.79786	0.891003	9.3142	1.16929	12.2109	1.7207	17.7398	2.07361	21.3368	2.10125	21.9559
0.193507	2.26629	0.0871356	0.733432	0.322487	3.79707	0.891741	9.08965	1.17265	11.9412	1.7211	17.3078	2.07132	20.7904	2.09898	21.386
0.196855	2.24134	0.090464	0.746096	0.331697	3.79626	0.892501	8.87623	1.17608	11.6853	1.72152	16.8967	2.06907	20.2704	2.09674	20.844
0.200242	2.21816	0.0938396	0.758641	0.340901	3.79542	0.893282	8.67315	1.17958	11.4421	1.72195	16.5049	2.06683	19.775	2.09452	20.328
0.203665	2.1966	0.0972616	0.771068	0.350099	3.79455	0.894085	8.47969	1.18314	11.2108	1.72238	16.1311	2.06463	19.3024	2.09234	19.8362
0.207123	2.17652	0.100729	0.783375	0.359289	3.79365	0.89491	8.2952	1.18676	10.9906	1.72283	15.7742	2.06246	18.8513	2.09018	19.367
0.210614	2.15778	0.104241	0.795562	0.368473	3.79273	0.895757	8.11908	1.19044	10.7806	1.72329	15.433	2.06031	18.4201	2.08805	18.9187
0.214137	2.14027	0.107796	0.807631	0.377649	3.79177	0.896626	7.9508	1.19418	10.5803	1.72376	15.1065	2.05819	18.0076	2.08596	18.4902
0.217689	2.12388	0.111395	0.81958	0.386818	3.79079	0.897517	7.78984	1.19799	10.389	1.72425	14.7938	2.05609	17.6126	2.08389	18.0801
0.22127	2.10854	0.115035	0.831412	0.395978	3.78978	0.89843	7.63577	1.20185	10.2061	1.72474	14.4941	2.05403	17.234	2.08185	17.6873
0.224879	2.09414	0.118716	0.843124	0.405131	3.78874	0.899365	7.48815	1.20577	10.0312	1.72524	14.2065	2.05199	16.871	2.07984	17.3107
0.228513	2.08062	0.122438	0.854717	0.414275	3.78767	0.900323	7.3466	1.20974	9.86365	1.72576	13.9303	2.04999	16.5224	2.07786	16.9494
0.232171	2.0679	0.126199	0.866194	0.42341	3.78656	0.901303	7.21077	1.21377	9.70311	1.72629	13.665	2.04801	16.1875	2.07591	16.6025
0.235854	2.05594	0.129999	0.877552	0.432537	3.78543	0.902307	7.08033	1.21785	9.54916	1.72683	13.4097	2.04606	15.8656	2.07399	16.269
0.239558	2.04466	0.133837	0.888793	0.441654	3.78426	0.903332	6.95498	1.22199	9.4014	1.72738	13.1641	2.04414	15.5559	2.0721	15.9484
0.243284	2.03403	0.137712	0.899918	0.450762	3.78306	0.904381	6.83443	1.22618	9.2595	1.72794	12.9276	2.04226	15.2577	2.07024	15.6399
0.247031	2.02399	0.141624	0.910927	0.459859	3.78183	0.905453	6.71842	1.23042	9.12312	1.72851	12.6996	2.0404	14.9704	2.06841	15.3427
0.250797	2.0145	0.145571	0.92182	0.468947	3.78057	0.906548	6.60671	1.23471	8.99197	1.7291	12.4798	2.03857	14.6935	2.06662	15.0564
0.254582	2.00552	0.149552	0.932598	0.478024	3.77926	0.907667	6.49909	1.23905	8.86576	1.72969	12.2677	2.03678	14.4264	2.06485	14.7803
0.258384	1.99702	0.153568	0.943261	0.48709	3.77793	0.908661	6.40846	1.24344	8.74422	1.7303	12.0628	2.03501	14.1685	2.06312	14.5139
0.262204	1.98897	0.157617	0.953812	0.496144	3.77656	0.909522	6.33342	1.24788	8.62713	1.73092	11.865	2.03328	13.9196	2.06141	14.2568
0.26604	1.98133	0.161699	0.96425	0.505187	3.77515	0.910244	6.27286	1.25237	8.51425	1.73155	11.6737	2.03157	13.679	2.05974	14.0084
0.269892	1.97408	0.165813	0.974575	0.514218	3.7737	0.910822	6.2259	1.2569	8.40536	1.7322	11.4887	2.0299	13.4464	2.05811	13.7684
0.273759	1.96719	0.169958	0.984788	0.523237	3.77221	0.91125	6.19188	1.26147	8.30028	1.73286	11.3097	2.02827	13.2215	2.0565	13.5363
0.277641	1.96064	0.174133	0.99489	0.532242	3.77069	0.911526	6.17032	1.26609	8.19881	1.73353	11.1364	2.02666	13.0038	2.05492	13.3117
