S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
477  Points		478  Points		404  Points		288  Points		221  Points		174  Points		435  Points		354  Points		239  Points		178  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.1172	2.3172	1.77778	1.94263	3.55713	3.90555	4.33553	4.74911	5.11149	5.59073	6.80706	7.14805	2.96784	3.26163	4.1124	4.51144	5.48991	6.0137	6.28795	6.85757
2.12839	2.3109	1.79376	1.94452	3.57636	3.8953	4.35738	4.73502	5.12644	5.56247	6.81245	7.10602	2.97983	3.24863	4.12959	4.49415	5.50134	5.97819	6.29528	6.839
2.13964	2.30476	1.80974	1.94636	3.59539	3.88499	4.37932	4.72124	5.1416	5.53488	6.81708	7.07067	2.99175	3.23576	4.14687	4.47722	5.51278	5.94326	6.3046	6.81577
2.15095	2.29879	1.8257	1.94817	3.61421	3.87463	4.40134	4.70775	5.15695	5.50792	6.82095	7.04178	3.00361	3.22302	4.16423	4.46065	5.52425	5.90891	6.31594	6.78805
2.16232	2.29297	1.84166	1.94994	3.63283	3.86421	4.42343	4.69456	5.17249	5.48158	6.82402	7.01915	3.01542	3.21042	4.18165	4.4444	5.53575	5.87513	6.32934	6.75605
2.17375	2.2873	1.85761	1.95167	3.65124	3.85373	4.4456	4.68165	5.18823	5.45586	6.8263	7.00262	3.02716	3.19796	4.19915	4.42847	5.54728	5.84189	6.34483	6.71998
2.18524	2.28178	1.87356	1.95337	3.66946	3.84321	4.46784	4.66902	5.20416	5.43073	6.82776	6.9921	3.03885	3.18563	4.2167	4.41285	5.55884	5.8092	6.36046	6.68461
2.19678	2.2764	1.8895	1.95504	3.68747	3.83264	4.49015	4.65665	5.22028	5.40619	6.82987	6.97704	3.05049	3.17343	4.2343	4.39753	5.57043	5.77705	6.37621	6.64991
2.20838	2.27117	1.90542	1.95668	3.70527	3.82201	4.51253	4.64453	5.2366	5.38221	6.83217	6.96076	3.06208	3.16138	4.25195	4.38248	5.58206	5.74541	6.39208	6.61587
2.22004	2.26606	1.92135	1.95828	3.72288	3.81135	4.53497	4.63266	5.25311	5.35879	6.83531	6.93879	3.07363	3.14945	4.26965	4.36771	5.59373	5.7143	6.40808	6.58247
2.23175	2.26109	1.93726	1.95986	3.74029	3.80064	4.55747	4.62103	5.26981	5.33591	6.83931	6.91125	3.08514	3.13767	4.28738	4.35319	5.60545	5.68368	6.4242	6.54969
2.24351	2.25624	1.95317	1.9614	3.75751	3.78989	4.58003	4.60963	5.2867	5.31355	6.8442	6.87832	3.09661	3.12602	4.30514	4.33892	5.61721	5.65357	6.44043	6.51751
2.25533	2.25152	1.96907	1.96291	3.77453	3.77911	4.60264	4.59844	5.30378	5.29172	6.84998	6.8402	3.10804	3.1145	4.32293	4.32488	5.62901	5.62394	6.45678	6.48592
2.2672	2.24692	1.98497	1.9644	3.79136	3.76829	4.6253	4.58747	5.32105	5.27039	6.8567	6.79713	3.11944	3.10313	4.34073	4.31107	5.64087	5.5948	6.47325	6.45491
2.27912	2.24244	2.00086	1.96585	3.808	3.75744	4.648	4.5767	5.33851	5.24955	6.86349	6.75476	3.13081	3.09188	4.35856	4.29747	5.65278	5.56613	6.48982	6.42446
2.29109	2.23807	2.01674	1.96728	3.82446	3.74657	4.67074	4.56612	5.35616	5.2292	6.87037	6.71309	3.14216	3.08077	4.37639	4.28408	5.66474	5.53792	6.50651	6.39455
2.30311	2.23381	2.03261	1.96868	3.84073	3.73568	4.69352	4.55573	5.37399	5.20931	6.87734	6.67208	3.15348	3.0698	4.39423	4.27088	5.67677	5.51017	6.52329	6.36518
2.31519	2.22966	2.04848	1.97006	3.85683	3.72476	4.71633	4.54551	5.39201	5.18989	6.88438	6.63174	3.16477	3.05896	4.41207	4.25787	5.68885	5.48286	6.54019	6.33632
2.32731	2.22562	2.06434	1.97141	3.87275	3.71383	4.73916	4.53546	5.41022	5.17092	6.89151	6.59204	3.17605	3.04825	4.42991	4.24504	5.70099	5.456	6.55718	6.30797
2.33948	2.22168	2.08019	1.97273	3.88849	3.70289	4.76202	4.52557	5.42862	5.15239	6.89873	6.55298	3.18731	3.03768	4.44773	4.23238	5.7132	5.42958	6.57427	6.28011
2.35169	2.21783	2.09604	1.97403	3.90407	3.69195	4.78489	4.51584	5.44719	5.13428	6.90604	6.51453	3.19856	3.02724	4.46555	4.21989	5.72547	5.40359	6.59146	6.25273
2.36395	2.21408	2.11188	1.97531	3.91948	3.68099	4.80777	4.50624	5.46596	5.1166	6.91343	6.4767	3.20979	3.01693	4.48334	4.20754	5.73781	5.37801	6.60875	6.22581
2.37626	2.21043	2.12771	1.97656	3.93473	3.67004	4.83066	4.49679	5.4849	5.09933	6.92091	6.43947	3.22101	3.00675	4.50111	4.19535	5.75022	5.35285	6.62613	6.19936
2.38862	2.20687	2.14354	1.97779	3.94983	3.65909	4.85355	4.48746	5.50403	5.08246	6.92847	6.40282	3.23222	2.9967	4.51886	4.1833	5.76271	5.3281	6.64359	6.17334
2.40102	2.20339	2.15936	1.979	3.96476	3.64814	4.87643	4.47826	5.52333	5.06598	6.93613	6.36675	3.24342	2.98679	4.53658	4.17138	5.77527	5.30376	6.66115	6.14776
2.42594	2.1967	2.17517	1.98018	3.97955	3.63721	4.89931	4.46917	5.54282	5.04989	6.94388	6.33124	3.25462	2.97699	4.55426	4.15959	5.78791	5.2798	6.67879	6.1226
2.43847	2.19348	2.19098	1.98134	3.9942	3.62629	4.92217	4.46018	5.56249	5.03418	6.95172	6.29629	3.26582	2.96733	4.5719	4.14792	5.80062	5.25624	6.69651	6.09786
2.45104	2.19034	2.20678	1.98249	4.0087	3.61539	4.94501	4.4513	5.58234	5.01883	6.95965	6.26188	3.27701	2.95779	4.5895	4.13637	5.81342	5.23306	6.71431	6.07351
2.46365	2.18727	2.22258	1.98361	4.02307	3.6045	4.96782	4.44251	5.60236	5.00384	6.96767	6.22801	3.2882	2.94838	4.60705	4.12493	5.8263	5.21026	6.7322	6.04956
2.4763	2.18428	2.23837	1.98471	4.0373	3.59364	4.9906	4.43381	5.62256	4.9892	6.97579	6.19466	3.2994	2.93909	4.62456	4.11359	5.83926	5.18783	6.75016	6.02599
2.48899	2.18136	2.25415	1.98579	4.0514	3.58281	5.01335	4.42519	5.64294	4.97491	6.984	6.16183	3.31059	2.92992	4.64201	4.10235	5.85231	5.16577	6.76819	6.00279
2.50172	2.17852	2.26993	1.98686	4.06538	3.572	5.03606	4.41664	5.66349	4.96096	6.9923	6.1295	3.32179	2.92088	4.6594	4.09121	5.86544	5.14406	6.7863	5.97995
2.51448	2.17574	2.2857	1.9879	4.07923	3.56123	5.05872	4.40817	5.68421	4.94733	7.00071	6.09767	3.333	2.91195	4.67674	4.08016	5.87866	5.12271	6.80447	5.95747
2.52729	2.17303	2.30146	1.98893	4.09297	3.55049	5.08134	4.39976	5.70511	4.93403	7.00921	6.06632	3.34421	2.90315	4.69401	4.06919	5.89198	5.10171	6.82272	5.93534
2.54013	2.17039	2.31722	1.98993	4.10659	3.53979	5.10389	4.3914	5.72618	4.92104	7.01781	6.03546	3.35543	2.89446	4.71122	4.05831	5.90538	5.08105	6.84103	5.91354
2.55301	2.16781	2.33298	1.99092	4.1201	3.52913	5.12639	4.3831	5.74742	4.90836	7.02651	6.00507	3.36666	2.8859	4.72836	4.04751	5.91887	5.06073	6.8594	5.89208
2.56592	2.16529	2.34872	1.9919	4.1335	3.51851	5.14882	4.37485	5.76882	4.89598	7.03531	5.97514	3.3779	2.87744	4.74543	4.03678	5.93246	5.04074	6.87784	5.87093
2.57887	2.16283	2.36446	1.99285	4.14681	3.50793	5.17118	4.36665	5.7904	4.88389	7.04421	5.94567	3.38915	2.8691	4.76242	4.02612	5.94614	5.02108	6.89634	5.8501
2.59185	2.16044	2.3802	1.99379	4.16001	3.49741	5.19347	4.35848	5.81214	4.87209	7.05321	5.91664	3.40041	2.86088	4.77934	4.01553	5.95991	5.00174	6.91489	5.82957
2.60487	2.15809	2.39593	1.99471	4.17312	3.48693	5.21568	4.35035	5.83404	4.86057	7.06232	5.88806	3.41169	2.85277	4.79618	4.005	5.97378	4.98271	6.9335	5.80935
2.61792	2.15581	2.41165	1.99562	4.18614	3.4765	5.23781	4.34224	5.85611	4.84933	7.07153	5.85991	3.42298	2.84476	4.81294	3.99454	5.98774	4.96399	6.95216	5.78941
2.631	2.15358	2.42737	1.99651	4.19907	3.46613	5.25986	4.33417	5.87833	4.83835	7.08084	5.83219	3.43429	2.83687	4.82962	3.98413	6.0018	4.94558	6.97088	5.76976
2.64412	2.1514	2.44308	1.99739	4.21191	3.45581	5.28181	4.32612	5.90072	4.82764	7.09027	5.80489	3.44561	2.82909	4.84622	3.97378	6.01596	4.92747	6.98964	5.75039
2.65727	2.14927	2.45879	1.99825	4.22467	3.44555	5.30368	4.31809	5.92326	4.81718	7.0998	5.778	3.45695	2.82141	4.86273	3.96349	6.03021	4.90965	7.00845	5.73129
2.67045	2.1472	2.47449	1.99909	4.23735	3.43535	5.32544	4.31008	5.94595	4.80697	7.10944	5.75152	3.46831	2.81384	4.87915	3.95324	6.04455	4.89212	7.02731	5.71245
2.68366	2.14517	2.49019	1.99993	4.24996	3.42521	5.34711	4.30208	5.9688	4.797			3.47968	2.80637	4.89548	3.94305	6.05899	4.87488	7.04621	5.69387
2.6969	2.14319	2.50588	2.00074	4.26249	3.41512	5.36867	4.29409	5.9918	4.78727			3.49108	2.799	4.91173	3.9329	6.07353	4.85791	7.06515	5.67554
2.71016	2.14125	2.52156	2.00155	4.27496	3.4051	5.39013	4.28611	6.01494	4.77776			3.50249	2.79174	4.92788	3.9228	6.08816	4.84122	7.08413	5.65746
2.72346	2.13937	2.53724	2.00234	4.28736	3.39515	5.41148	4.27814	6.03823	4.76849			3.51393	2.78458	4.94394	3.91274	6.10289	4.82479	7.10314	5.63962
2.73679	2.13752	2.55291	2.00311	4.29969	3.38526	5.43272	4.27018	6.06167	4.75943			3.52538	2.77751	4.95991	3.90273	6.11771	4.80863		
2.75014	2.13572	2.56858	2.00388	4.31197	3.37543	5.45384	4.26222	6.08524	4.75058			3.53686	2.77055	4.97578	3.89276	6.13262	4.79273		
2.76353	2.13396	2.58425	2.00463	4.32419	3.36568	5.47486	4.25426	6.10895	4.74195			3.54835	2.76368	4.99156	3.88282	6.14763	4.77708		
2.77694	2.13224	2.5999	2.00537	4.33635	3.35599	5.49575	4.24629	6.13279	4.73351			3.55987	2.7569	5.00724	3.87293	6.16273	4.76167		
2.79037	2.13056	2.61556	2.00609	4.34846	3.34637	5.51653	4.23833	6.15676	4.72526			3.57142	2.75022	5.02283	3.86308	6.17791	4.74651		
2.80383	2.12892	2.6312	2.00681	4.36051	3.33681	5.53718	4.23037	6.18086	4.71721			3.58298	2.74364	5.03832	3.85326	6.19319	4.73159		
2.81732	2.12731	2.64685	2.00751	4.37252	3.32733	5.55771	4.2224	6.20508	4.70934			3.59457	2.73714	5.05372	3.84348	6.20855	4.7169		
2.83084	2.12575	2.66248	2.0082	4.38449	3.31792	5.57812	4.21442	6.22942	4.70164			3.60619	2.73074	5.06902	3.83374	6.224	4.70244		
2.84437	2.12422	2.67812	2.00888	4.39641	3.30858	5.59841	4.20644	6.25388	4.69412			3.61782	2.72442	5.08423	3.82403	6.23954	4.6882		
2.85794	2.12272	2.69374	2.00955	4.40829	3.29932	5.61856	4.19845	6.27845	4.68677			3.62949	2.71819	5.09934	3.81435	6.25515	4.67418		
2.87152	2.12126	2.70937	2.01021	4.42013	3.29012	5.6386	4.19046	6.30313	4.67957			3.64117	2.71205	5.11436	3.80471	6.27085	4.66038		
2.88513	2.11983	2.72498	2.01085	4.43194	3.281	5.6585	4.18246	6.32792	4.67254			3.65289	2.70599	5.12928	3.79511	6.28663	4.64678		
2.89877	2.11843	2.7406	2.01149	4.44371	3.27195	5.67828	4.17445	6.3528	4.66565			3.66462	2.70002	5.1441	3.78554	6.30249	4.63338		
2.91242	2.11706	2.7562	2.01211	4.45544	3.26297	5.69793	4.16643	6.37778	4.6589			3.67639	2.69413	5.15883	3.776	6.31842	4.62019		
2.9261	2.11573	2.77181	2.01273	4.46715	3.25407	5.71744	4.15841	6.40286	4.6523			3.68818	2.68832	5.17347	3.7665	6.33442	4.60718		
2.9398	2.11442	2.7874	2.01333	4.47882	3.24524	5.73684	4.15037	6.42802	4.64583			3.69999	2.6826	5.18802	3.75703	6.3505	4.59437		
2.95352	2.11315	2.803	2.01393	4.49047	3.23648	5.7561	4.14233	6.45327	4.63948			3.71183	2.67695	5.20248	3.7476	6.36664	4.58174		
2.96727	2.1119	2.81859	2.01452	4.5021	3.2278	5.77523	4.13428	6.4786	4.63327			3.7237	2.67138	5.21684	3.7382	6.38285	4.56929		
2.98103	2.11068	2.83417	2.01509	4.51369	3.21919	5.79423	4.12622	6.504	4.62716			3.7356	2.66589	5.23112	3.72884	6.39913	4.55702		
2.99482	2.10949	2.84975	2.01566	4.52527	3.21065	5.8131	4.11815	6.52947	4.62118			3.74752	2.66047	5.2453	3.71951	6.41547	4.54492		
3.00862	2.10832	2.86532	2.01622	4.53683	3.20219	5.83185	4.11008	6.55501	4.6153			3.75946	2.65513	5.2594	3.71021	6.43186	4.53299		
3.02245	2.10718	2.88089	2.01677	4.54836	3.1938	5.85046	4.102	6.58061	4.60952			3.77144	2.64986	5.27342	3.70095	6.44832	4.52122		
3.03629	2.10606	2.89646	2.01731	4.55988	3.18548	5.86895	4.09391	6.60626	4.60384			3.78344	2.64467	5.28735	3.69173	6.46482	4.5096		
3.05015	2.10497	2.91202	2.01784	4.57138	3.17724	5.88731	4.08582	6.63197	4.59826			3.79547	2.63955	5.30119	3.68254	6.48138	4.49814		
3.06404	2.1039	2.92758	2.01836	4.58287	3.16907	5.90554	4.07772	6.65772	4.59276			3.80752	2.63449	5.31496	3.67339	6.49799	4.48683		
3.07794	2.10286	2.94313	2.01887	4.59434	3.16098	5.92364	4.06961	6.68351	4.58734			3.81961	2.62951	5.32864	3.66427	6.51464	4.47567		
3.09186	2.10184	2.95867	2.01938	4.6058	3.15295	5.94162	4.0615	6.70934	4.58201			3.83172	2.6246	5.34225	3.6552	6.53133	4.46464		
3.10579	2.10084	2.97422	2.01988	4.61725	3.145	5.95947	4.05338	6.73519	4.57675			3.84385	2.61975	5.35577	3.64616	6.54807	4.45376		
3.11975	2.09986	2.98976	2.02037	4.62869	3.13712	5.9772	4.04526	6.76108	4.57155			3.85602	2.61497	5.36922	3.63715	6.56484	4.443		
3.13372	2.09891	3.00529	2.02085	4.64011	3.12931	5.9948	4.03714	6.78698	4.56642			3.86821	2.61026	5.38259	3.62819	6.58165	4.43238		
3.14771	2.09797	3.02082	2.02133	4.65153	3.12158	6.01227	4.02901	6.81289	4.56135			3.88043	2.60561	5.3959	3.61926	6.59849	4.42188		
3.16171	2.09706	3.03635	2.0218	4.66295	3.11391	6.02963	4.02088	6.83881	4.55634			3.89267	2.60103	5.40913	3.61038	6.61535	4.4115		
3.17573	2.09616	3.05187	2.02226	4.67435	3.10632	6.04686	4.01275	6.86474	4.55137			3.90494	2.5965	5.42228	3.60153	6.63225	4.40125		
3.18977	2.09528	3.06738	2.02271	4.68576	3.09879	6.06398	4.00462	6.89065	4.54645			3.91724	2.59204	5.43538	3.59273	6.64916	4.3911		
3.20382	2.09443	3.0829	2.02316	4.69715	3.09134	6.08097	3.99648	6.91656	4.54157			3.92957	2.58764	5.4484	3.58397	6.6661	4.38107		
3.21789	2.09359	3.0984	2.02359	4.70855	3.08395	6.09784	3.98835	6.94245	4.53672			3.94192	2.5833	5.46136	3.57524	6.68305	4.37115		
3.23198	2.09277	3.11391	2.02403	4.71994	3.07664	6.1146	3.98022	6.96832	4.53191			3.95431	2.57902	5.47425	3.56656	6.70002	4.36132		
3.24608	2.09196	3.12941	2.02445	4.73133	3.06939	6.13123	3.97209	6.99416	4.52712			3.96671	2.5748	5.48709	3.55792	6.717	4.3516		
3.26019	2.09117	3.14491	2.02487	4.74272	3.06221	6.14776	3.96396	7.01996	4.52236			3.97915	2.57063	5.49986	3.54933	6.73399	4.34198		
3.27432	2.0904	3.1604	2.02528	4.75411	3.0551	6.16416	3.95584	7.04571	4.51761			3.99161	2.56653	5.51257	3.54078	6.75098	4.33245		
3.28846	2.08965	3.17589	2.02569	4.76551	3.04806	6.18046	3.94771	7.07142	4.51287			4.0041	2.56247	5.52523	3.53227	6.76798	4.32302		
3.30262	2.08891	3.19137	2.02609	4.7769	3.04108	6.19664	3.9396	7.09707	4.50814			4.01661	2.55848	5.53783	3.5238	6.78498	4.31367		
3.31679	2.08819	3.20685	2.02648	4.78829	3.03417	6.21271	3.93148	7.12265	4.50341			4.02915	2.55453	5.55037	3.51538	6.80197	4.30441		
3.33097	2.08748	3.22233	2.02687	4.79969	3.02733	6.22867	3.92338					4.04172	2.55064	5.56287	3.50701	6.81896	4.29523		
3.34517	2.08679	3.2378	2.02725	4.8111	3.02055	6.24452	3.91528					4.05432	2.5468	5.57531	3.49868	6.83595	4.28612		
3.35938	2.08611	3.25327	2.02762	4.8225	3.01383	6.26027	3.90718					4.06694	2.54301	5.5877	3.49039	6.85292	4.2771		
3.3736	2.08545	3.26873	2.02799	4.83391	3.00718	6.27591	3.8991					4.07958	2.53928	5.60005	3.48215	6.86988	4.26815		
3.38784	2.0848	3.28419	2.02836	4.84533	3.0006	6.29144	3.89102					4.09226	2.53559	5.61235	3.47396	6.88683	4.25927		
3.40209	2.08416	3.29965	2.02871	4.85675	2.99407	6.30687	3.88295					4.10495	2.53196	5.6246	3.46581	6.90375	4.25046		
3.41635	2.08353	3.3151	2.02907	4.86818	2.98761	6.3222	3.87489					4.11768	2.52837	5.63681	3.45771	6.92066	4.24172		
3.43062	2.08292	3.33055	2.02941	4.87962	2.98122	6.33742	3.86685					4.13043	2.52483	5.64898	3.44965	6.93755	4.23305		
3.44491	2.08233	3.346	2.02976	4.89107	2.97488	6.35255	3.85881					4.1432	2.52134	5.6611	3.44165	6.9544	4.22443		
3.45921	2.08174	3.36144	2.03009	4.90252	2.9686	6.36758	3.85079					4.15601	2.51789	5.67319	3.43369	6.97124	4.21587		
3.47351	2.08117	3.37688	2.03042	4.91398	2.96239	6.38251	3.84277					4.16883	2.51449	5.68524	3.42578	6.98804	4.20738		
3.48783	2.0806	3.39231	2.03075	4.92545	2.95624	6.39735	3.83478					4.18168	2.51113	5.69726	3.41791	7.00481	4.19894		
3.50216	2.08005	3.40774	2.03107	4.93693	2.95014	6.41209	3.82679					4.19456	2.50782	5.70924	3.4101	7.02155	4.19055		
3.51651	2.07951	3.42317	2.03139	4.94842	2.94411	6.42675	3.81882					4.20746	2.50455	5.72118	3.40233	7.03825	4.18221		
3.53086	2.07898	3.43859	2.0317	4.95992	2.93813	6.44131	3.81087					4.22039	2.50133	5.7331	3.39461	7.05492	4.17393		
3.54522	2.07847	3.45401	2.032	4.97143	2.93221	6.45578	3.80293					4.23334	2.49815	5.74498	3.38694	7.07154	4.16569		
3.55959	2.07796	3.46943	2.03231	4.98295	2.92635	6.47016	3.79501					4.24632	2.49501	5.75683	3.37932	7.08812	4.1575		
3.57398	2.07746	3.48484	2.0326	4.99449	2.92054	6.48446	3.78711					4.25932	2.49191	5.76865	3.37174	7.10466	4.14935		
3.58837	2.07698	3.50025	2.0329	5.00603	2.91479	6.49867	3.77922					4.27234	2.48885	5.78045	3.36422				
3.60277	2.0765	3.51566	2.03318	5.01759	2.9091	6.5128	3.77136					4.28539	2.48583	5.79222	3.35674				
3.61719	2.07603	3.53106	2.03347	5.02916	2.90346	6.52685	3.76351					4.29846	2.48285	5.80396	3.34931				
3.63161	2.07557	3.54646	2.03375	5.04074	2.89788	6.54082	3.75568					4.31156	2.47991	5.81568	3.34193				
3.64604	2.07512	3.56185	2.03402	5.05233	2.89235	6.5547	3.74787					4.32468	2.47701	5.82738	3.3346				
3.66048	2.07468	3.57725	2.03429	5.06394	2.88688	6.56852	3.74009					4.33782	2.47415	5.83906	3.32732				
3.67493	2.07425	3.59264	2.03456	5.07556	2.88146	6.58225	3.73232					4.35099	2.47132	5.85071	3.32009				
3.68939	2.07383	3.60802	2.03482	5.0872	2.87609	6.59591	3.72458					4.36417	2.46853	5.86234	3.3129				
3.70386	2.07342	3.6234	2.03508	5.09884	2.87077	6.6095	3.71686					4.37739	2.46578	5.87396	3.30577				
3.71834	2.07301	3.63878	2.03534	5.11051	2.86551	6.62302	3.70917					4.39062	2.46306	5.88556	3.29868				
3.73282	2.07261	3.65416	2.03559	5.12218	2.86029	6.63646	3.7015					4.40388	2.46037	5.89714	3.29164				
3.74732	2.07222	3.66953	2.03583	5.13388	2.85513	6.64984	3.69385					4.41716	2.45772	5.9087	3.28465				
3.76182	2.07184	3.6849	2.03608	5.14558	2.85002	6.66315	3.68623					4.43046	2.45511	5.92025	3.27771				
3.77633	2.07147	3.70027	2.03632	5.1573	2.84495	6.6764	3.67863					4.44379	2.45252	5.93179	3.27082				
3.79085	2.0711	3.71563	2.03655	5.16904	2.83994	6.68958	3.67106					4.45714	2.44998	5.94331	3.26397				
3.80538	2.07074	3.73099	2.03678	5.18079	2.83497	6.7027	3.66352					4.47051	2.44746	5.95482	3.25718				
3.81991	2.07039	3.74635	2.03701	5.19256	2.83006	6.71576	3.656					4.4839	2.44497	5.96632	3.25043				
3.83445	2.07004	3.7617	2.03724	5.20434	2.82519	6.72876	3.64852					4.49731	2.44252	5.9778	3.24373				
3.849	2.0697	3.77705	2.03746	5.21614	2.82036	6.7417	3.64105					4.51074	2.4401	5.98928	3.23707				
3.86356	2.06937	3.7924	2.03768	5.22795	2.81559	6.75459	3.63362					4.5242	2.43771	6.00075	3.23047				
3.87812	2.06904	3.80775	2.03789	5.23978	2.81086	6.76741	3.62622					4.53768	2.43535	6.0122	3.22391				
3.89269	2.06872	3.82309	2.0381	5.25162	2.80617	6.78019	3.61884					4.55117	2.43301	6.02365	3.21739				
3.90727	2.06841	3.83843	2.03831	5.26349	2.80153	6.79291	3.6115					4.56469	2.43071	6.0351	3.21093				
3.92186	2.0681	3.85376	2.03852	5.27536	2.79694	6.80558	3.60418					4.57823	2.42844	6.04653	3.20451				
3.93645	2.0678	3.8691	2.03872	5.28726	2.79239	6.8182	3.59689					4.59179	2.42619	6.05796	3.19814				
3.95105	2.0675	3.88443	2.03892	5.29917	2.78788	6.83077	3.58964					4.60537	2.42398	6.06939	3.19181				
3.96565	2.06721	3.89975	2.03912	5.3111	2.78341	6.84329	3.58242					4.61897	2.42179	6.08081	3.18553				
3.98026	2.06693	3.91508	2.03931	5.32304	2.77899	6.85577	3.57522					4.63259	2.41963	6.09223	3.1793				
3.99488	2.06665	3.9304	2.0395	5.335	2.77462	6.8682	3.56806					4.64623	2.41749	6.10364	3.17311				
4.0095	2.06638	3.94572	2.03969	5.34698	2.77028	6.88059	3.56093					4.65989	2.41538	6.11505	3.16697				
4.02414	2.06611	3.96103	2.03987	5.35897	2.76598	6.89294	3.55383					4.67357	2.4133	6.12646	3.16087				
4.03877	2.06584	3.97635	2.04005	5.37098	2.76173	6.90524	3.54677					4.68727	2.41124	6.13786	3.15482				
4.05341	2.06559	3.99166	2.04023	5.38301	2.75752	6.91751	3.53973					4.70099	2.40921	6.14927	3.14882				
4.06806	2.06533	4.00697	2.04041	5.39506	2.75334	6.92973	3.53273					4.71473	2.4072	6.16067	3.14285				
4.08272	2.06508	4.02227	2.04058	5.40712	2.74921	6.94192	3.52576					4.72849	2.40522	6.17207	3.13693				
4.09738	2.06484	4.03757	2.04075	5.4192	2.74512	6.95407	3.51883					4.74226	2.40326	6.18347	3.13106				
4.11204	2.0646	4.05287	2.04092	5.43129	2.74106	6.96619	3.51193					4.75606	2.40133	6.19488	3.12523				
4.12672	2.06437	4.06817	2.04109	5.44341	2.73705	6.97827	3.50506					4.76987	2.39942	6.20628	3.11944				
4.14139	2.06414	4.08346	2.04125	5.45554	2.73307	6.99032	3.49823					4.7837	2.39753	6.21769	3.1137				
4.15607	2.06391	4.09876	2.04141	5.46769	2.72913	7.00233	3.49143					4.79755	2.39567	6.2291	3.108				
4.17076	2.06369	4.11404	2.04157	5.47985	2.72522	7.01432	3.48466					4.81142	2.39383	6.24051	3.10234				
4.18545	2.06347	4.12933	2.04172	5.49203	2.72136	7.02627	3.47793					4.8253	2.39201	6.25192	3.09672				
4.20015	2.06326	4.14462	2.04188	5.50423	2.71753	7.03819	3.47123					4.8392	2.39021	6.26334	3.09115				
4.21486	2.06305	4.1599	2.04203	5.51645	2.71373	7.05009	3.46457					4.85313	2.38844	6.27476	3.08562				
4.22956	2.06284	4.17518	2.04218	5.52868	2.70998	7.06196	3.45794					4.86706	2.38668	6.28618	3.08013				
4.24428	2.06264	4.19045	2.04232	5.54093	2.70625	7.0738	3.45134					4.88102	2.38495	6.29761	3.07468				
4.25899	2.06244	4.20573	2.04247	5.5532	2.70256	7.08562	3.44478					4.89499	2.38324	6.30904	3.06927				
4.27372	2.06225	4.221	2.04261	5.56549	2.69891	7.09741	3.43826					4.90898	2.38155	6.32048	3.06391				
4.28844	2.06206	4.23627	2.04275	5.57779	2.69529	7.10917	3.43177					4.92299	2.37988	6.33192	3.05858				
4.30318	2.06187	4.25153	2.04289	5.59011	2.69171							4.93701	2.37822	6.34337	3.0533				
4.31791	2.06169	4.2668	2.04302	5.60245	2.68816							4.95105	2.37659	6.35482	3.04805				
4.33265	2.06151	4.28206	2.04316	5.6148	2.68464							4.96511	2.37498	6.36628	3.04284				
4.3474	2.06133	4.29732	2.04329	5.62717	2.68115							4.97918	2.37339	6.37775	3.03768				
4.36215	2.06116	4.31258	2.04342	5.63956	2.6777							4.99327	2.37181	6.38922	3.03255				
4.3769	2.06099	4.32783	2.04355	5.65197	2.67428							5.00738	2.37025	6.4007	3.02746				
4.39166	2.06082	4.34309	2.04367	5.66439	2.67089							5.0215	2.36872	6.41219	3.02241				
4.40642	2.06066	4.35834	2.0438	5.67683	2.66753							5.03564	2.3672	6.42368	3.0174				
4.42119	2.0605	4.37359	2.04392	5.68929	2.6642							5.04979	2.3657	6.43519	3.01242				
4.43596	2.06034	4.38883	2.04404	5.70176	2.66091							5.06396	2.36421	6.4467	3.00749				
4.45073	2.06018	4.40408	2.04416	5.71425	2.65764							5.07815	2.36274	6.45821	3.00259				
4.46551	2.06003	4.41932	2.04427	5.72676	2.6544							5.09235	2.36129	6.46974	2.99773				
4.48029	2.05988	4.43456	2.04439	5.73928	2.6512							5.10656	2.35986	6.48127	2.9929				
4.49508	2.05974	4.4498	2.0445	5.75183	2.64802							5.12079	2.35844	6.49282	2.98811				
4.50987	2.05959	4.46503	2.04461	5.76439	2.64487							5.13503	2.35704	6.50437	2.98336				
4.52466	2.05945	4.48026	2.04472	5.77696	2.64175							5.14929	2.35566	6.51593	2.97865				
4.53946	2.05931	4.49549	2.04483	5.78955	2.63866							5.16357	2.35429	6.5275	2.97397				
4.55426	2.05918	4.51072	2.04493	5.80216	2.6356							5.17786	2.35294	6.53908	2.96932				
4.56907	2.05904	4.52595	2.04504	5.81479	2.63257							5.19216	2.3516	6.55068	2.96471				
4.58387	2.05891	4.54118	2.04514	5.82743	2.62956							5.20648	2.35028	6.56228	2.96014				
4.59868	2.05878	4.5564	2.04524	5.84009	2.62658							5.22081	2.34897	6.57389	2.9556				
4.6135	2.05866	4.57162	2.04534	5.85277	2.62363							5.23516	2.34768	6.58551	2.95109				
