S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
477  Points		478  Points		404  Points		288  Points		221  Points		174  Points		435  Points		354  Points		239  Points		178  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.816195	3.72312	0.262045	1.18748	2.0032	9.26026	2.58097	11.8151	4.42746	20.142	6.53792	29.8585	1.3907	6.45464	3.30973	15.2465	4.50035	20.6027	5.5308	25.9612
0.841931	3.71621	0.276299	1.21181	2.00117	8.94755	2.59593	11.4977	4.42938	19.5002	6.53714	28.8875	1.40732	6.31676	3.3107	14.7526	4.50689	19.9625	5.53301	25.1073
0.86748	3.70893	0.290719	1.23532	1.99953	8.65639	2.61101	11.2006	4.43138	18.8988	6.53645	27.9778	1.42199	6.20463	3.31175	14.2903	4.51361	19.3633	5.5353	24.3088
0.89283	3.70126	0.30529	1.25803	1.99829	8.38483	2.62621	10.9222	4.43345	18.3343	6.53584	27.1238	1.43462	6.11442	3.31287	13.8566	4.5205	18.8014	5.53767	23.5605
0.917967	3.69319	0.320002	1.27998	1.99747	8.13117	2.64151	10.6607	4.43559	17.8032	6.5353	26.3205	1.44515	6.04328	3.31406	13.4491	4.52757	18.2734	5.54012	22.8577
0.94288	3.68471	0.334847	1.30119	1.99707	7.8939	2.65693	10.4147	4.43781	17.3028	6.53484	25.5637	1.45354	5.98913	3.31534	13.0655	4.5348	17.7764	5.54266	22.1966
0.967553	3.67579	0.349814	1.32169	1.99711	7.67168	2.67245	10.1829	4.4401	16.8306	6.53446	24.8493	1.45973	5.95043	3.3167	12.7037	4.5422	17.3079	5.54529	21.5736
0.991974	3.66642	0.364894	1.34149	1.99761	7.46334	2.68808	9.96399	4.44247	16.3841	6.53416	24.174	1.4637	5.92614	3.31815	12.362	4.54976	16.8654	5.548	20.9854
1.01613	3.65658	0.38008	1.36064	1.99857	7.2678	2.70381	9.75708	4.44492	15.9614	6.53393	23.5347	1.46944	5.89187	3.31968	12.0388	4.55747	16.4469	5.55079	20.4293
1.03999	3.64625	0.395364	1.37915	2.00001	7.08413	2.71965	9.56119	4.44744	15.5607	6.53377	22.9285	1.47569	5.85545	3.32132	11.7327	4.56535	16.0506	5.55368	19.9027
1.06356	3.63541	0.410738	1.39704	2.00195	6.91148	2.73558	9.3755	4.45005	15.1803	6.5337	22.353	1.48423	5.80726	3.32304	11.4424	4.57337	15.6747	5.55665	19.4035
1.08682	3.62405	0.426197	1.41434	2.0044	6.74908	2.75161	9.19924	4.45273	14.8188	6.5337	21.8059	1.49508	5.74841	3.32487	11.1667	4.58154	15.3177	5.55971	18.9294
1.10974	3.61216	0.441733	1.43108	2.00738	6.59624	2.76774	9.03173	4.45549	14.4747	6.53377	21.2852	1.5083	5.68024	3.32681	10.9046	4.58986	14.9782	5.56286	18.4788
1.13231	3.5997	0.457342	1.44726	2.01091	6.45234	2.78396	8.87235	4.45834	14.1469	6.53391	20.789	1.5239	5.60414	3.32885	10.6552	4.59831	14.6551	5.5661	18.0498
1.15451	3.58667	0.473017	1.46292	2.01444	6.33378	2.80027	8.72053	4.46127	13.8343	6.53413	20.3157	1.54195	5.52158	3.331	10.4176	4.60691	14.3472	5.56944	17.6411
1.17633	3.57306	0.488754	1.47806	2.01779	6.23748	2.81668	8.57577	4.46428	13.5358	6.53443	19.8637	1.56012	5.44373	3.33327	10.1909	4.61564	14.0534	5.57287	17.2513
1.19776	3.55885	0.504548	1.49272	2.0208	6.16101	2.83317	8.4376	4.46738	13.2506	6.53479	19.4316	1.57843	5.37018	3.33565	9.97459	4.6245	13.7729	5.57639	16.879
1.21876	3.54404	0.518354	1.50511	2.02335	6.10249	2.84975	8.30559	4.47057	12.9778	6.53523	19.0182	1.59685	5.30059	3.33816	9.76788	4.63349	13.5047	5.58001	16.5232
1.23933	3.52861	0.530153	1.5154	2.02531	6.06053	2.86642	8.17935	4.47384	12.7166	6.53574	18.6223	1.61537	5.23465	3.34079	9.57022	4.64261	13.2481	5.58373	16.1828
1.25946	3.51257	0.539928	1.52372	2.0266	6.03415	2.88317	8.05852	4.4772	12.4663	6.53633	18.2428	1.63399	5.17208	3.34355	9.38106	4.65184	13.0024	5.58755	15.8569
1.27912	3.49592	0.54767	1.53019	2.02852	5.99683	2.9	7.94276	4.48066	12.2262	6.53698	17.8787	1.65269	5.11262	3.34644	9.19989	4.6612	12.7668	5.59146	15.5445
1.29832	3.47866	0.553368	1.53488	2.03068	5.9571	2.91692	7.83179	4.4842	11.9959	6.5377	17.5291	1.67148	5.05604	3.34947	9.02624	4.67066	12.5409	5.59548	15.2448
1.31703	3.4608	0.557018	1.53785	2.03375	5.9044	2.93391	7.7253	4.48784	11.7746	6.5385	17.1932	1.69034	5.00212	3.35264	8.8597	4.68024	12.3239	5.59959	14.9572
1.33525	3.44235	0.562268	1.54209	2.03784	5.83989	2.95098	7.62305	4.49157	11.5619	6.53937	16.8701	1.70926	4.95068	3.35595	8.69985	4.68993	12.1155	5.60381	14.6809
1.35298	3.42334	0.56798	1.54664	2.0431	5.76498	2.96813	7.5248	4.4954	11.3574	6.5403	16.5593	1.72824	4.90154	3.35941	8.54635	4.69972	11.9151	5.60814	14.4153
1.37021	3.40378	0.575755	1.55275	2.04973	5.68125	2.98535	7.43031	4.49932	11.1605	6.54131	16.2599	1.74727	4.85453	3.36302	8.39884	4.70962	11.7222	5.61257	14.1598
1.38695	3.38371	0.5856	1.56035	2.05796	5.59041	3.00264	7.3394	4.50335	10.971	6.54238	15.9714	1.76633	4.80952	3.36678	8.25701	4.71961	11.5365	5.61711	13.9138
1.40318	3.36315	0.597523	1.56934	2.06684	5.50489	3.02001	7.25185	4.50747	10.7883	6.54353	15.6933	1.78544	4.76636	3.3707	8.12058	4.72969	11.3576	5.62176	13.6769
1.41893	3.34215	0.611533	1.57962	2.0764	5.4244	3.03744	7.16751	4.5117	10.6121	6.54474	15.4249	1.80457	4.72493	3.37478	7.98926	4.73987	11.185	5.62652	13.4485
1.4342	3.32075	0.627636	1.59108	2.08664	5.34867	3.05495	7.08619	4.51602	10.4422	6.54602	15.1658	1.82372	4.68511	3.37903	7.86281	4.75013	11.0186	5.63139	13.2283
1.44899	3.29899	0.643767	1.60218	2.09755	5.27744	3.07252	7.00775	4.52046	10.2782	6.54737	14.9155	1.84288	4.6468	3.38344	7.74098	4.76048	10.8579	5.63638	13.0158
1.46151	3.27977	0.659922	1.61295	2.10914	5.21047	3.09016	6.93203	4.52499	10.1197	6.54879	14.6736	1.86205	4.60991	3.38803	7.62357	4.77091	10.7027	5.64148	12.8107
1.47191	3.26322	0.676099	1.62339	2.12141	5.14753	3.10786	6.85891	4.52964	9.96667	6.55027	14.4397	1.88123	4.57433	3.39279	7.51035	4.78142	10.5526	5.6467	12.6125
1.48034	3.24944	0.692296	1.63352	2.13435	5.08838	3.12563	6.78826	4.5344	9.8187	6.55183	14.2133	1.9004	4.53999	3.39773	7.40113	4.79201	10.4076	5.65203	12.4209
1.48688	3.23849	0.708511	1.64335	2.14795	5.03282	3.14346	6.71996	4.53926	9.67559	6.55345	13.9942	1.91956	4.50681	3.40285	7.29575	4.80266	10.2672	5.65749	12.2357
1.49163	3.23041	0.724742	1.65288	2.16221	4.98064	3.16135	6.65389	4.54424	9.53713	6.55513	13.782	1.93871	4.47472	3.40815	7.19401	4.81338	10.1313	5.66307	12.0566
1.49465	3.22523	0.740988	1.66213	2.1771	4.93163	3.1793	6.58996	4.54933	9.4031	6.55689	13.5764	1.95783	4.44364	3.41365	7.09577	4.82417	9.99963	5.66877	11.8832
1.49894	3.21777	0.757247	1.67111	2.1926	4.8856	3.19731	6.52807	4.55454	9.2733	6.55871	13.377	1.97692	4.41352	3.41933	7.00087	4.83502	9.87206	5.6746	11.7153
1.50356	3.20965	0.773517	1.67983	2.20871	4.84237	3.21538	6.46812	4.55987	9.14756	6.5606	13.1837	1.99598	4.38429	3.42521	6.90918	4.84593	9.74837	5.68055	11.5527
1.50977	3.19857	0.789797	1.6883	2.2254	4.80176	3.23118	6.41739	4.56531	9.0257	6.56255	12.9961	2.01501	4.35591	3.4313	6.82055	4.85689	9.62838	5.68664	11.3951
1.51749	3.18454	0.806085	1.69652	2.24265	4.76359	3.24468	6.37523	4.57088	8.90756	6.56457	12.814	2.03398	4.32832	3.43758	6.73487	4.86791	9.51194	5.69285	11.2424
1.52664	3.16753	0.822381	1.70451	2.26043	4.72772	3.25586	6.34108	4.57656	8.79299	6.56665	12.6372	2.05291	4.30147	3.44406	6.652	4.87898	9.39889	5.6992	11.0942
1.53714	3.14758	0.838683	1.71228	2.27872	4.69397	3.26472	6.31453	4.58238	8.68184	6.5688	12.4654	2.07178	4.27532	3.45076	6.57185	4.89009	9.28907	5.70568	10.9505
1.54888	3.12469	0.85499	1.71982	2.29749	4.66221	3.27124	6.29525	4.58832	8.57396	6.57102	12.2985	2.09059	4.24983	3.45677	6.50413	4.90125	9.18235	5.71229	10.8111
